open,close,high,low,volume,money
2773.42,2770.74,2805.01,2752.78,35288918500.0,337547960520.8
2773.29,2730.15,2791.68,2666.33,42623019900.0,392661142297.9
2716.08,2702.19,2739.74,2635.09,47899029200.0,424877418268.6
2680.48,2789.49,2802.93,2669.67,50284931300.0,441215054098.9
2791.51,2829.7,2829.7,2770.53,54711743900.0,495919878083.4
2832.49,2865.9,2867.47,2827.9,53110889300.0,482939732024.6
2886.59,2910.54,2910.54,2867.71,45896770400.0,442148454574.5
2902.88,2922.73,2927.31,2887.47,35013873500.0,357057491972.6
2906.02,2950.96,2994.61,2898.05,44424546300.0,450922050718.1
2945.45,2988.36,2988.36,2944.5,35413253600.0,365264217873.3
2992.91,3004.88,3009.14,2979.97,38008327000.0,398232220674.3
3002.12,2977.02,3009.48,2967.06,40902655800.0,427564895756.7
2966.42,3015.48,3015.48,2961.15,37298468700.0,412614978516.7
3016.26,2957.85,3031.49,2957.85,54410909300.0,576555221675.0
2943.62,3015.17,3015.17,2943.62,40969637400.0,452808746134.9
3013.82,3027.02,3032.23,3003.76,37913218400.0,442984248197.1
